"group";"ISOweek";"deaths"
"45to64";"2017-W38";134
"45to64";"2017-W39";129
"45to64";"2017-W40";128
"45to64";"2017-W41";141
"45to64";"2017-W42";138
"45to64";"2017-W43";142
"45to64";"2017-W44";137
"45to64";"2017-W45";131
"45to64";"2017-W46";138
"45to64";"2017-W47";143
"45to64";"2017-W48";147
"45to64";"2017-W49";133
"45to64";"2017-W50";154
"45to64";"2017-W51";141
"45to64";"2017-W52";146
"45to64";"2018-W01";163
"45to64";"2018-W02";139
"45to64";"2018-W03";139
"45to64";"2018-W04";144
"45to64";"2018-W05";137
"45to64";"2018-W06";150
"45to64";"2018-W07";167
"45to64";"2018-W08";149
"45to64";"2018-W09";166
"45to64";"2018-W10";178
"45to64";"2018-W11";157
"45to64";"2018-W12";185
"45to64";"2018-W13";145
"45to64";"2018-W14";162
"45to64";"2018-W15";179
"45to64";"2018-W16";133
"45to64";"2018-W17";126
"45to64";"2018-W18";163
"45to64";"2018-W19";130
"45to64";"2018-W20";147
"45to64";"2018-W21";147
"45to64";"2018-W22";133
"45to64";"2018-W23";149
"45to64";"2018-W24";117
"45to64";"2018-W25";130
"45to64";"2018-W26";101
"45to64";"2018-W27";149
"45to64";"2018-W28";132
"45to64";"2018-W29";148
"45to64";"2018-W30";156
"45to64";"2018-W31";152
"45to64";"2018-W32";149
"45to64";"2018-W33";158
"45to64";"2018-W34";123
"45to64";"2018-W35";139
"45to64";"2018-W36";112
"45to64";"2018-W37";129
"45to64";"2018-W38";125
"45to64";"2018-W39";119
"45to64";"2018-W40";138
"45to64";"2018-W41";115
"45to64";"2018-W42";131
"45to64";"2018-W43";129
"45to64";"2018-W44";123
"45to64";"2018-W45";131
"45to64";"2018-W46";123
"45to64";"2018-W47";136
"45to64";"2018-W48";121
"45to64";"2018-W49";149
"45to64";"2018-W50";134
"45to64";"2018-W51";166
"45to64";"2018-W52";116
"45to64";"2019-W01";156
"45to64";"2019-W02";158
"45to64";"2019-W03";143
"45to64";"2019-W04";160
"45to64";"2019-W05";153
"45to64";"2019-W06";165
"45to64";"2019-W07";170
"45to64";"2019-W08";126
"45to64";"2019-W09";152
"45to64";"2019-W10";139
"45to64";"2019-W11";129
"45to64";"2019-W12";137
"45to64";"2019-W13";155
"45to64";"2019-W14";122
"45to64";"2019-W15";126
"45to64";"2019-W16";136
"45to64";"2019-W17";138
"45to64";"2019-W18";115
"45to64";"2019-W19";144
"45to64";"2019-W20";119
"45to64";"2019-W21";120
"45to64";"2019-W22";127
"45to64";"2019-W23";124
"45to64";"2019-W24";122
"45to64";"2019-W25";149
"45to64";"2019-W26";137
"45to64";"2019-W27";140
"45to64";"2019-W28";114
"45to64";"2019-W29";122
"45to64";"2019-W30";135
"45to64";"2019-W31";122
"45to64";"2019-W32";128
"45to64";"2019-W33";140
"45to64";"2019-W34";132
"45to64";"2019-W35";127
"45to64";"2019-W36";131
"45to64";"2019-W37";145
"45to64";"2019-W38";133
"45to64";"2019-W39";155
"45to64";"2019-W40";132
"45to64";"2019-W41";139
"45to64";"2019-W42";132
"45to64";"2019-W43";130
"45to64";"2019-W44";126
"45to64";"2019-W45";152
"45to64";"2019-W46";152
"45to64";"2019-W47";135
"45to64";"2019-W48";138
"45to64";"2019-W49";120
"45to64";"2019-W50";135
"45to64";"2019-W51";125
"45to64";"2019-W52";129
"45to64";"2020-W01";137
"45to64";"2020-W02";147
"45to64";"2020-W03";113
"45to64";"2020-W04";132
"45to64";"2020-W05";161
"45to64";"2020-W06";142
"45to64";"2020-W07";127
"45to64";"2020-W08";152
"45to64";"2020-W09";116
"45to64";"2020-W10";135
"45to64";"2020-W11";138
"45to64";"2020-W12";128
"45to64";"2020-W13";120
"45to64";"2020-W14";136
"45to64";"2020-W15";129.5046
"45to64";"2020-W16";128.9263
"45to64";"2020-W17";131.9645
"45to64";"2020-W18";117.3521
"45to64";"2020-W19";138.6599
"45to64";"2020-W20";122.9804
"45to64";"2020-W21";120.3135
"45to64";"2020-W22";130.7141
"65to74";"2014-W15";232
"65to74";"2014-W16";252
"65to74";"2014-W17";215
"65to74";"2014-W18";200
"65to74";"2014-W19";259
"65to74";"2014-W20";225
"65to74";"2014-W21";236
"65to74";"2014-W22";207
"65to74";"2014-W23";202
"65to74";"2014-W24";219
"65to74";"2014-W25";184
"65to74";"2014-W26";207
"65to74";"2014-W27";231
