"group";"ISOweek";"N"
"15to44";"2019-W04";2169385.57142857
"15to44";"2019-W05";2169985.57142857
"15to44";"2019-W06";2170740.85714286
"15to44";"2019-W07";2171259.85714286
"15to44";"2019-W08";2171367.42857143
"15to44";"2019-W09";2171736.57142857
"15to44";"2019-W10";2171252.57142857
"15to44";"2019-W11";2171259
"15to44";"2019-W12";2171103.57142857
"15to44";"2019-W13";2171136.14285714
"15to44";"2019-W14";2170951.28571429
"15to44";"2019-W15";2170473.57142857
"15to44";"2019-W16";2170573
"15to44";"2019-W17";2170293.28571429
"15to44";"2019-W18";2170404.42857143
"15to44";"2019-W19";2169904.85714286
"15to44";"2019-W20";2169685.57142857
"15to44";"2019-W21";2169627.14285714
"15to44";"2019-W22";2169013.14285714
"15to44";"2019-W23";2168239.28571429
"15to44";"2019-W24";2168289
"15to44";"2019-W25";2168104.57142857
"15to44";"2019-W26";2167869.28571429
"15to44";"2019-W27";2166847.85714286
"15to44";"2019-W28";2165967.57142857
"15to44";"2019-W29";2165803.28571429
"15to44";"2019-W30";2165673.28571429
"15to44";"2019-W31";2166301.57142857
"15to44";"2019-W32";2165775.85714286
"15to44";"2019-W33";2166892
"15to44";"2019-W34";2168175.85714286
"15to44";"2019-W35";2171052.85714286
"15to44";"2019-W36";2171928
"15to44";"2019-W37";2174136.85714286
"15to44";"2019-W38";2174750.42857143
"15to44";"2019-W39";2174983.57142857
"15to44";"2019-W40";2175203.71428571
"15to44";"2019-W41";2174852.14285714
"15to44";"2019-W42";2175147
"15to44";"2019-W43";2175271.71428571
"15to44";"2019-W44";2175785.28571429
"15to44";"2019-W45";2175357.14285714
"15to44";"2019-W46";2175748.14285714
"15to44";"2019-W47";2175751.14285714
"15to44";"2019-W48";2176178
"15to44";"2019-W49";2175793.57142857
"15to44";"2019-W50";2175835.57142857
"15to44";"2019-W51";2175083.57142857
"15to44";"2019-W52";2174112.71428571
"15to44";"2020-W01";2172907.28571429
"15to44";"2020-W02";2172840.57142857
"15to44";"2020-W03";2173166.85714286
"15to44";"2020-W04";2173208.42857143
"15to44";"2020-W05";2174078.71428571
"15to44";"2020-W06";2174116.14285714
"15to44";"2020-W07";2174284.14285714
"15to44";"2020-W08";2174325.71428571
"15to44";"2020-W09";2174657.42857143
"15to44";"2020-W10";2174164.14285714
"15to44";"2020-W11";2174190.57142857
"15to44";"2020-W12";2173939.71428571
"15to44";"2020-W13";2173637.14285714
"15to44";"2020-W14";2173846
"15to44";"2020-W15";2173168.85714286
"15to44";"2020-W16";2172875
"15to44";"2020-W17";2172322.57142857
"15to44";"2020-W18";2172405.57142857
"15to44";"2020-W19";2171709.28571429
"15to44";"2020-W20";2171497.71428571
"15to44";"2020-W21";2171061.85714286
"15to44";"2020-W22";2170840.42857143
"45to64";"2014-W27";1502383
"45to64";"2014-W28";1502436
"45to64";"2014-W29";1502563.71428571
"45to64";"2014-W30";1502643
"45to64";"2014-W31";1502716
"45to64";"2014-W32";1502661.28571429
"45to64";"2014-W33";1502748.14285714
"45to64";"2014-W34";1502809
"45to64";"2014-W35";1502896
"45to64";"2014-W36";1502997.85714286
"45to64";"2014-W37";1503050.28571429
"45to64";"2014-W38";1503213.14285714
"45to64";"2014-W39";1503404.28571429
"45to64";"2014-W40";1503452.71428571
