"group";"ISOweek";"GSIPLS"
"15to44";"2018-W15";0.00163046068337739
"15to44";"2018-W16";0.000913051238336954
"15to44";"2018-W17";0.000322831618535615
"15to44";"2018-W18";9.20596068201195e-05
"15to44";"2018-W19";3.92290942857702e-05
"15to44";"2018-W20";0.000100209325816779
"15to44";"2018-W21";1.94034880416832e-05
"15to44";"2018-W22";1.57868345116042e-05
"15to44";"2018-W23";3.1596156023385e-05
"15to44";"2018-W24";0
"15to44";"2018-W25";0
"15to44";"2018-W26";0
"15to44";"2018-W27";0
"15to44";"2018-W28";0
"15to44";"2018-W29";0
"15to44";"2018-W30";0
"15to44";"2018-W31";0
"15to44";"2018-W32";0
"15to44";"2018-W33";3.16290751604845e-05
"15to44";"2018-W34";0
"15to44";"2018-W35";1.53264809734619e-05
"15to44";"2018-W36";0
"15to44";"2018-W37";1.86794048371705e-05
"15to44";"2018-W38";4.49580661773613e-05
"15to44";"2018-W39";3.09382397877752e-05
"15to44";"2018-W40";5.16895631802664e-05
"15to44";"2018-W41";2.16095433846462e-05
"15to44";"2018-W42";8.57775880334255e-05
"15to44";"2018-W43";8.21675177443561e-05
"15to44";"2018-W44";1.5030337989361e-05
"15to44";"2018-W45";0.000172808935520779
"15to44";"2018-W46";0.000153721677600235
"15to44";"2018-W47";0.000160071308697866
"15to44";"2018-W48";0.000340796309951478
"15to44";"2018-W49";0.000529513912223915
"15to44";"2018-W50";0.000851471470362449
"15to44";"2018-W51";0.00261784504753901
"15to44";"2018-W52";0.00375790335480202
"15to44";"2019-W01";0.00469885080175007
"15to44";"2019-W02";0.00344585468317851
"15to44";"2019-W03";0.00625942177588996
"15to44";"2019-W04";0.0107835697533895
"15to44";"2019-W05";0.023080007064333
"15to44";"2019-W06";0.0385134841863613
"15to44";"2019-W07";0.0259339034505005
"15to44";"2019-W08";0.012980301622761
"15to44";"2019-W09";0.00732162434701795
"15to44";"2019-W10";0.00299342151780616
"15to44";"2019-W11";0.00326364163459698
"15to44";"2019-W12";0.00261366320732374
"15to44";"2019-W13";0.00167591881663091
"15to44";"2019-W14";0.000964135703906698
"15to44";"2019-W15";0.000417749645451174
"15to44";"2019-W16";0.00037144050040988
"15to44";"2019-W17";0.000673860606898589
"15to44";"2019-W18";0.000110388036835491
"15to44";"2019-W19";0.000197090908915885
"15to44";"2019-W20";0.000138926196719315
"15to44";"2019-W21";3.95132482841311e-05
"15to44";"2019-W22";4.20863074144482e-05
"15to44";"2019-W23";0.000127625316571481
"15to44";"2019-W24";1.95683178563948e-05
"15to44";"2019-W25";5.10564707829202e-05
"15to44";"2019-W26";6.12810648300535e-05
"15to44";"2019-W27";0
"15to44";"2019-W28";2.21681493668579e-05
"15to44";"2019-W29";1.98264487653966e-05
"15to44";"2019-W30";1.62042044274421e-05
"15to44";"2019-W31";1.38508213318679e-05
"15to44";"2019-W32";2.06797230386529e-05
"15to44";"2019-W33";5.68639113363724e-05
"15to44";"2019-W34";3.8715277774385e-05
"15to44";"2019-W35";0.000134932423752726
"15to44";"2019-W36";0
"15to44";"2019-W37";2.75023367416172e-05
"15to44";"2019-W38";5.37050179924436e-05
"15to44";"2019-W39";4.81973194607478e-05
"15to44";"2019-W40";9.89113161423533e-05
"15to44";"2019-W41";0.000120507862162002
"15to44";"2019-W42";6.46761562022628e-05
"15to44";"2019-W43";0.000129337480584948
"15to44";"2019-W44";0.000174480933656573
"15to44";"2019-W45";0.000322050390939088
"15to44";"2019-W46";0.000411924258275726
"15to44";"2019-W47";0.00038995388913531
"15to44";"2019-W48";0.00067507776714561
"15to44";"2019-W49";0.000973368061451653
"15to44";"2019-W50";0.00218999358923573
"15to44";"2019-W51";0.00293722968774597
"15to44";"2019-W52";0.00283449608725507
"15to44";"2020-W01";0.00385108537399289
"15to44";"2020-W02";0.00273233525994098
"15to44";"2020-W03";0.00267137916416313
"15to44";"2020-W04";0.0053764318841026
"15to44";"2020-W05";0.00712708286899991
"15to44";"2020-W06";0.00573413491864921
"15to44";"2020-W07";0.00869971436457712
"15to44";"2020-W08";0.00782199804070762
"15to44";"2020-W09";0.0122559412742087
"15to44";"2020-W10";0.0128003240080883
"15to44";"2020-W11";0.0104895075880266
"15to44";"2020-W12";0.00133749078159631
"15to44";"2020-W13";0.000407645065398565
"15to44";"2020-W14";9.5225873441304e-05
"15to44";"2020-W15";0
"15to44";"2020-W16";0
"15to44";"2020-W17";0
"15to44";"2020-W18";0
"15to44";"2020-W19";0
"15to44";"2020-W20";0
"15to44";"2020-W21";0
"15to44";"2020-W22";0
"45to64";"2014-W27";0
"45to64";"2014-W28";0
"45to64";"2014-W29";0
"45to64";"2014-W30";0
"45to64";"2014-W31";0
"45to64";"2014-W32";0
"45to64";"2014-W33";0
"45to64";"2014-W34";0
"45to64";"2014-W35";0
"45to64";"2014-W36";0
"45to64";"2014-W37";0
"45to64";"2014-W38";0.000209767022256609
"45to64";"2014-W39";0.000109723616345062
"45to64";"2014-W40";0
"45to64";"2014-W41";0
"45to64";"2014-W42";0
"45to64";"2014-W43";0.000319818710422143
"45to64";"2014-W44";0
"45to64";"2014-W45";0
"45to64";"2014-W46";0.000219267345344708
"45to64";"2014-W47";0.000125544708331978
"45to64";"2014-W48";0
"45to64";"2014-W49";0
"45to64";"2014-W50";0
"45to64";"2014-W51";0
"45to64";"2014-W52";0.000511933399186899
"45to64";"2015-W01";0.000497489588216221
"45to64";"2015-W02";0.00134115497430158
"45to64";"2015-W03";0.00115019811330155
"45to64";"2015-W04";0.00124262386830879
"45to64";"2015-W05";0.00207999235267691
"45to64";"2015-W06";0.003387281092512
"45to64";"2015-W07";0.0114429452220904
"45to64";"2015-W08";0.0156440306227764
"45to64";"2015-W09";0.0122084503252435
"45to64";"2015-W10";0.0136032225759379
